,Name,Direction,FarEndPoint,StartPoint,EndPoint,EstTime,time
0,AYE,1,TUAS CHECKPOINT,AYE/MCE INTERCHANGE,TELOK BLANGAH RD,2,"01/28/2021, 10:00:00"
1,AYE,1,TUAS CHECKPOINT,TELOK BLANGAH RD,LOWER DELTA RD,1,"01/28/2021, 10:00:00"
2,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,4,"01/28/2021, 10:00:00"
3,AYE,1,TUAS CHECKPOINT,NORMANTON PARK,NORTH BUONA VISTA RD,2,"01/28/2021, 10:00:00"
4,AYE,1,TUAS CHECKPOINT,NORTH BUONA VISTA RD,CLEMENTI RD,2,"01/28/2021, 10:00:00"
5,AYE,1,TUAS CHECKPOINT,CLEMENTI RD,WEST COAST RD,2,"01/28/2021, 10:00:00"
6,AYE,1,TUAS CHECKPOINT,WEST COAST RD,CLEMENTI AVE 6,2,"01/28/2021, 10:00:00"
7,AYE,1,TUAS CHECKPOINT,CLEMENTI AVE 6,JURONG TOWN HALL RD,2,"01/28/2021, 10:00:00"
8,AYE,1,TUAS CHECKPOINT,JURONG TOWN HALL RD,PENJURU RD,1,"01/28/2021, 10:00:00"
9,AYE,1,TUAS CHECKPOINT,PENJURU RD,JURONG PORT RD,2,"01/28/2021, 10:00:00"
10,AYE,1,TUAS CHECKPOINT,JURONG PORT RD,JURONG PIER RD,1,"01/28/2021, 10:00:00"
11,AYE,1,TUAS CHECKPOINT,JURONG PIER RD,PIONEER CIRCUS,2,"01/28/2021, 10:00:00"
12,AYE,1,TUAS CHECKPOINT,PIONEER CIRCUS,BENOI RD,2,"01/28/2021, 10:00:00"
13,AYE,1,TUAS CHECKPOINT,BENOI RD,AYE/PIE INTERCHANGE,2,"01/28/2021, 10:00:00"
14,AYE,1,TUAS CHECKPOINT,AYE/PIE INTERCHANGE,TUAS WEST RD,2,"01/28/2021, 10:00:00"
15,AYE,1,TUAS CHECKPOINT,TUAS WEST RD,TUAS WEST DRIVE,2,"01/28/2021, 10:00:00"
16,AYE,1,TUAS CHECKPOINT,TUAS WEST DRIVE,TUAS CHECKPOINT,1,"01/28/2021, 10:00:00"
17,AYE,2,CITY,TUAS CHECKPOINT,TUAS WEST RD,1,"01/28/2021, 10:00:00"
18,AYE,2,CITY,TUAS WEST RD,AYE/PIE INTERCHANGE,2,"01/28/2021, 10:00:00"
19,AYE,2,CITY,AYE/PIE INTERCHANGE,BENOI RD,2,"01/28/2021, 10:00:00"
20,AYE,2,CITY,BENOI RD,PIONEER CIRCUS,2,"01/28/2021, 10:00:00"
21,AYE,2,CITY,PIONEER CIRCUS,JALAN BOON LAY,2,"01/28/2021, 10:00:00"
22,AYE,2,CITY,JALAN BOON LAY,YUAN CHING RD,2,"01/28/2021, 10:00:00"
23,AYE,2,CITY,YUAN CHING RD,JURONG TOWN HALL RD,3,"01/28/2021, 10:00:00"
24,AYE,2,CITY,JURONG TOWN HALL RD,CLEMENTI AVE 6,3,"01/28/2021, 10:00:00"
25,AYE,2,CITY,CLEMENTI AVE 6,CLEMENTI AVE 2,1,"01/28/2021, 10:00:00"
26,AYE,2,CITY,CLEMENTI AVE 2,CLEMENTI RD,1,"01/28/2021, 10:00:00"
27,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,3,"01/28/2021, 10:00:00"
28,AYE,2,CITY,NORTH BUONA VISTA RD,PORTSDOWN RD,2,"01/28/2021, 10:00:00"
29,AYE,2,CITY,PORTSDOWN RD,ALEXANDRA RD,2,"01/28/2021, 10:00:00"
30,AYE,2,CITY,ALEXANDRA RD,LOWER DELTA RD,5,"01/28/2021, 10:00:00"
31,AYE,2,CITY,LOWER DELTA RD,KEPPEL RD,1,"01/28/2021, 10:00:00"
32,AYE,2,CITY,KEPPEL RD,AYE/MCE INTERCHANGE,2,"01/28/2021, 10:00:00"
33,BKE,1,WOODLANDS CENTRE,BKE/PIE INTERCHANGE,DIARY FARM,2,"01/28/2021, 10:00:00"
34,BKE,1,WOODLANDS CENTRE,DIARY FARM,BUKIT PANJANG RD,2,"01/28/2021, 10:00:00"
35,BKE,1,WOODLANDS CENTRE,BUKIT PANJANG RD,BKE/KJE INTERCHANGE,2,"01/28/2021, 10:00:00"
36,BKE,1,WOODLANDS CENTRE,BKE/KJE INTERCHANGE,MANDAI RD,2,"01/28/2021, 10:00:00"
37,BKE,1,WOODLANDS CENTRE,MANDAI RD,BKE/SLE INTERCHANGE,2,"01/28/2021, 10:00:00"
38,BKE,1,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,WOODLANDS AVE 3,1,"01/28/2021, 10:00:00"
39,BKE,1,WOODLANDS CENTRE,WOODLANDS AVE 3,WOODLANDS CENTRE,1,"01/28/2021, 10:00:00"
40,BKE,2,PIE,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,1,"01/28/2021, 10:00:00"
41,BKE,2,PIE,BKE/SLE INTERCHANGE,MANDAI RD,2,"01/28/2021, 10:00:00"
42,BKE,2,PIE,MANDAI RD,BKE/KJE INTERCHANGE,2,"01/28/2021, 10:00:00"
43,BKE,2,PIE,BKE/KJE INTERCHANGE,BUKIT PANJANG RD,2,"01/28/2021, 10:00:00"
44,BKE,2,PIE,BUKIT PANJANG RD,DIARY FARM ROAD,1,"01/28/2021, 10:00:00"
45,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,3,"01/28/2021, 10:00:00"
46,CTE,1,SLE/CTE INTERCHANGE,AYE/CTE INTERCHANGE,OUTRAM RD,1,"01/28/2021, 10:00:00"
47,CTE,1,SLE/CTE INTERCHANGE,OUTRAM RD,CLEMENCEAU AVE,1,"01/28/2021, 10:00:00"
48,CTE,1,SLE/CTE INTERCHANGE,CLEMENCEAU AVE,MOULMEIN RD,4,"01/28/2021, 10:00:00"
49,CTE,1,SLE/CTE INTERCHANGE,MOULMEIN RD,JALAN BAHAGIA,2,"01/28/2021, 10:00:00"
50,CTE,1,SLE/CTE INTERCHANGE,JALAN BAHAGIA,CTE/PIE INTERCHANGE,1,"01/28/2021, 10:00:00"
51,CTE,1,SLE/CTE INTERCHANGE,CTE/PIE INTERCHANGE,BRADDELL RD,5,"01/28/2021, 10:00:00"
52,CTE,1,SLE/CTE INTERCHANGE,BRADDELL RD,AMK AVE 1,2,"01/28/2021, 10:00:00"
53,CTE,1,SLE/CTE INTERCHANGE,AMK AVE 1,AMK AVE 3,3,"01/28/2021, 10:00:00"
54,CTE,1,SLE/CTE INTERCHANGE,AMK AVE 3,AMK AVE 5,1,"01/28/2021, 10:00:00"
55,CTE,1,SLE/CTE INTERCHANGE,AMK AVE 5,YIO CHU KANG,1,"01/28/2021, 10:00:00"
56,CTE,1,SLE/CTE INTERCHANGE,YIO CHU KANG,SLE/CTE INTERCHANGE,1,"01/28/2021, 10:00:00"
57,CTE,2,CITY,SLE/CTE INTERCHANGE,AMK AVE 5,2,"01/28/2021, 10:00:00"
58,CTE,2,CITY,AMK AVE 5,AMK AVE 3,1,"01/28/2021, 10:00:00"
59,CTE,2,CITY,AMK AVE 3,AMK AVE 1,2,"01/28/2021, 10:00:00"
60,CTE,2,CITY,AMK AVE 1,BRADDELL RD,3,"01/28/2021, 10:00:00"
61,CTE,2,CITY,BRADDELL RD,CTE/PIE INTERCHANGE,1,"01/28/2021, 10:00:00"
62,CTE,2,CITY,CTE/PIE INTERCHANGE,MOULMEIN RD,2,"01/28/2021, 10:00:00"
63,CTE,2,CITY,MOULMEIN RD,BUKIT TIMAH RD,1,"01/28/2021, 10:00:00"
64,CTE,2,CITY,BUKIT TIMAH RD,CAIRNHILL CIRCLE,1,"01/28/2021, 10:00:00"
65,CTE,2,CITY,CAIRNHILL CIRCLE,ORCHARD RD,1,"01/28/2021, 10:00:00"
66,CTE,2,CITY,ORCHARD RD,HAVELOCK RD,2,"01/28/2021, 10:00:00"
67,CTE,2,CITY,HAVELOCK RD,OUTRAM RD,1,"01/28/2021, 10:00:00"
68,CTE,2,CITY,OUTRAM RD,AYE/CTE INTERCHANGE,1,"01/28/2021, 10:00:00"
69,ECP,1,CITY,CHANGI AIRPORT,ECP/PIE INTERCHANGE,1,"01/28/2021, 10:00:00"
70,ECP,1,CITY,ECP/PIE INTERCHANGE,XILIN AVE,2,"01/28/2021, 10:00:00"
71,ECP,1,CITY,XILIN AVE,ECP SERVICE RD,1,"01/28/2021, 10:00:00"
72,ECP,1,CITY,ECP SERVICE RD,BEDOK RD,3,"01/28/2021, 10:00:00"
73,ECP,1,CITY,BEDOK RD,MARINE PARADE,3,"01/28/2021, 10:00:00"
74,ECP,1,CITY,MARINE PARADE,FORT RD,3,"01/28/2021, 10:00:00"
75,ECP,1,CITY,FORT RD,ROCHOR RD,3,"01/28/2021, 10:00:00"
76,ECP,2,CHANGI AIRPORT,ROCHOR RD,FORT RD,3,"01/28/2021, 10:00:00"
77,ECP,2,CHANGI AIRPORT,FORT RD,TANJONG KATONG ROAD,2,"01/28/2021, 10:00:00"
78,ECP,2,CHANGI AIRPORT,TANJONG KATONG ROAD,MARINE PARADE,3,"01/28/2021, 10:00:00"
79,ECP,2,CHANGI AIRPORT,MARINE PARADE,MARINE VISTA,2,"01/28/2021, 10:00:00"
80,ECP,2,CHANGI AIRPORT,MARINE VISTA,SIGLAP RD,1,"01/28/2021, 10:00:00"
81,ECP,2,CHANGI AIRPORT,SIGLAP RD,BEDOK RD,1,"01/28/2021, 10:00:00"
82,ECP,2,CHANGI AIRPORT,BEDOK RD,ECP SERVICE RD,1,"01/28/2021, 10:00:00"
83,ECP,2,CHANGI AIRPORT,ECP SERVICE RD,BAYSHORE RD,1,"01/28/2021, 10:00:00"
84,ECP,2,CHANGI AIRPORT,BAYSHORE RD,XILIN AVE,4,"01/28/2021, 10:00:00"
85,ECP,2,CHANGI AIRPORT,XILIN AVE,CHANGI AIRPORT,2,"01/28/2021, 10:00:00"
86,KJE,1,PIE,BKE/KJE INTERCHANGE,WOODLANDS RD,2,"01/28/2021, 10:00:00"
87,KJE,1,PIE,WOODLANDS RD,CHOA CHU KANG WAY,2,"01/28/2021, 10:00:00"
88,KJE,1,PIE,CHOA CHU KANG WAY,SUNGEI TENGAH,1,"01/28/2021, 10:00:00"
89,KJE,1,PIE,SUNGEI TENGAH,KJE/PIE INTERCHANGE(JALAN BAHAR FLYOVER),4,"01/28/2021, 10:00:00"
90,KJE,2,BKE,KJE/PIE INTERCHANGE(JALAN BAHAR FLYOVER),SUNGEI TENGAH,4,"01/28/2021, 10:00:00"
91,KJE,2,BKE,SUNGEI TENGAH,CHOA CHU KANG WAY,2,"01/28/2021, 10:00:00"
92,KJE,2,BKE,CHOA CHU KANG WAY,WOODLANDS RD,2,"01/28/2021, 10:00:00"
93,KJE,2,BKE,WOODLANDS RD,BKE/KJE INTERCHANGE,3,"01/28/2021, 10:00:00"
94,PIE,1,UPPER JURONG RD,PIE/ECP INTERCHANGE,CHANGI SOUTH,1,"01/28/2021, 10:00:00"
95,PIE,1,UPPER JURONG RD,CHANGI SOUTH,PIE/TPE INTERCHANGE,1,"01/28/2021, 10:00:00"
96,PIE,1,UPPER JURONG RD,PIE/TPE INTERCHANGE,SIMEI,1,"01/28/2021, 10:00:00"
97,PIE,1,UPPER JURONG RD,SIMEI,TAMPINES TOWN,1,"01/28/2021, 10:00:00"
98,PIE,1,UPPER JURONG RD,TAMPINES TOWN,TAMPINES AVE 5,1,"01/28/2021, 10:00:00"
99,PIE,1,UPPER JURONG RD,TAMPINES AVE 5,JALAN EUNOS,4,"01/28/2021, 10:00:00"
100,PIE,1,UPPER JURONG RD,JALAN EUNOS,PAYA LEBAR WAY,2,"01/28/2021, 10:00:00"
101,PIE,1,UPPER JURONG RD,PAYA LEBAR WAY,BENDEMEER EXIT,5,"01/28/2021, 10:00:00"
102,PIE,1,UPPER JURONG RD,BENDEMEER EXIT,PIE/CTE (CITY) INTERCHANGE,1,"01/28/2021, 10:00:00"
103,PIE,1,UPPER JURONG RD,PIE/CTE (CITY) INTERCHANGE,PIE/CTE (SLE) INTERCHANGE,1,"01/28/2021, 10:00:00"
104,PIE,1,UPPER JURONG RD,PIE/CTE (SLE) INTERCHANGE,KIM KEAT LINK,1,"01/28/2021, 10:00:00"
105,PIE,1,UPPER JURONG RD,KIM KEAT LINK,THOMSON RD,1,"01/28/2021, 10:00:00"
106,PIE,1,UPPER JURONG RD,THOMSON RD,WHITLEY RD,1,"01/28/2021, 10:00:00"
107,PIE,1,UPPER JURONG RD,WHITLEY RD,ADAM RD,4,"01/28/2021, 10:00:00"
108,PIE,1,UPPER JURONG RD,ADAM RD,ENG NEO AVE,2,"01/28/2021, 10:00:00"
109,PIE,1,UPPER JURONG RD,ENG NEO AVE,PIE/BKE INTERCHANGE,2,"01/28/2021, 10:00:00"
110,PIE,1,UPPER JURONG RD,PIE/BKE INTERCHANGE,CLEMENTI RD,2,"01/28/2021, 10:00:00"
111,PIE,1,UPPER JURONG RD,CLEMENTI RD,CLEMENTI AVE 6,3,"01/28/2021, 10:00:00"
112,PIE,1,UPPER JURONG RD,CLEMENTI AVE 6,BUKIT BATOK EAST AVE 3,1,"01/28/2021, 10:00:00"
113,PIE,1,UPPER JURONG RD,BUKIT BATOK EAST AVE 3,JURONG TOWN HALL RD,5,"01/28/2021, 10:00:00"
114,PIE,1,UPPER JURONG RD,JURONG TOWN HALL RD,JURONG EAST AVE 1,1,"01/28/2021, 10:00:00"
115,PIE,1,UPPER JURONG RD,JURONG EAST AVE 1,JURONG WEST AVE 2,1,"01/28/2021, 10:00:00"
116,PIE,1,UPPER JURONG RD,JURONG WEST AVE 2,PIE/KJE INTERCHANGE,1,"01/28/2021, 10:00:00"
117,PIE,1,UPPER JURONG RD,PIE/KJE INTERCHANGE,JALAN BAHAR,2,"01/28/2021, 10:00:00"
118,PIE,1,UPPER JURONG RD,JALAN BAHAR,PIONEER RD NORTH,1,"01/28/2021, 10:00:00"
119,PIE,1,UPPER JURONG RD,PIONEER RD NORTH,UPPER JURONG RD,3,"01/28/2021, 10:00:00"
120,PIE,2,CHANGI AIRPORT,UPPER JURONG RD,PIONEER RD NORTH,3,"01/28/2021, 10:00:00"
121,PIE,2,CHANGI AIRPORT,PIONEER RD NORTH,JALAN BAHAR,1,"01/28/2021, 10:00:00"
122,PIE,2,CHANGI AIRPORT,JALAN BAHAR,PIE/KJE INTERCHANGE,2,"01/28/2021, 10:00:00"
123,PIE,2,CHANGI AIRPORT,PIE/KJE INTERCHANGE,JURONG RD,2,"01/28/2021, 10:00:00"
124,PIE,2,CHANGI AIRPORT,JURONG RD,JURONG TOWN HALL RD,3,"01/28/2021, 10:00:00"
125,PIE,2,CHANGI AIRPORT,JURONG TOWN HALL RD,BUKIT BATOK EAST AVE 3,3,"01/28/2021, 10:00:00"
126,PIE,2,CHANGI AIRPORT,BUKIT BATOK EAST AVE 3,CLEMENTI AVE 6,1,"01/28/2021, 10:00:00"
127,PIE,2,CHANGI AIRPORT,CLEMENTI AVE 6,BUKIT TIMAH RD,2,"01/28/2021, 10:00:00"
128,PIE,2,CHANGI AIRPORT,BUKIT TIMAH RD,PIE/BKE INTERCHANGE,3,"01/28/2021, 10:00:00"
129,PIE,2,CHANGI AIRPORT,PIE/BKE INTERCHANGE,ENG NEO AVE,2,"01/28/2021, 10:00:00"
130,PIE,2,CHANGI AIRPORT,ENG NEO AVE,LORNIE RD,2,"01/28/2021, 10:00:00"
131,PIE,2,CHANGI AIRPORT,LORNIE RD,WHITLEY RD,2,"01/28/2021, 10:00:00"
132,PIE,2,CHANGI AIRPORT,WHITLEY RD,THOMSON RD,2,"01/28/2021, 10:00:00"
133,PIE,2,CHANGI AIRPORT,THOMSON RD,KIM KEAT LINK,3,"01/28/2021, 10:00:00"
134,PIE,2,CHANGI AIRPORT,KIM KEAT LINK,PIE/CTE INTERCHANGE,2,"01/28/2021, 10:00:00"
135,PIE,2,CHANGI AIRPORT,PIE/CTE INTERCHANGE,KALLANG WAY,3,"01/28/2021, 10:00:00"
136,PIE,2,CHANGI AIRPORT,KALLANG WAY,PAYA LEBAR WAY,2,"01/28/2021, 10:00:00"
137,PIE,2,CHANGI AIRPORT,PAYA LEBAR WAY,JALAN EUNOS,2,"01/28/2021, 10:00:00"
138,PIE,2,CHANGI AIRPORT,JALAN EUNOS,BEDOK RESERVOIR RD,2,"01/28/2021, 10:00:00"
139,PIE,2,CHANGI AIRPORT,BEDOK RESERVOIR RD,BEDOK NORTH RD,0,"01/28/2021, 10:00:00"
140,PIE,2,CHANGI AIRPORT,BEDOK NORTH RD,TAMPINES AVE 5,3,"01/28/2021, 10:00:00"
141,PIE,2,CHANGI AIRPORT,TAMPINES AVE 5,SIMEI AVE,1,"01/28/2021, 10:00:00"
142,PIE,2,CHANGI AIRPORT,SIMEI AVE,TAMPINES ST 31,1,"01/28/2021, 10:00:00"
143,PIE,2,CHANGI AIRPORT,TAMPINES ST 31,PIE/TPE INTERCHANGE,1,"01/28/2021, 10:00:00"
144,PIE,2,CHANGI AIRPORT,PIE/TPE INTERCHANGE,PIE/ECP INTERCHANGE,3,"01/28/2021, 10:00:00"
145,SLE,1,BKE,CTE/SLE INTERCHANGE,YISHUN,3,"01/28/2021, 10:00:00"
146,SLE,1,BKE,YISHUN,UPPER THOMSON,2,"01/28/2021, 10:00:00"
147,SLE,1,BKE,UPPER THOMSON,MANDIA RD,4,"01/28/2021, 10:00:00"
148,SLE,1,BKE,MANDIA RD,WOODLANDS AVE 12,1,"01/28/2021, 10:00:00"
149,SLE,1,BKE,WOODLANDS AVE 12,WOODLANDS AVE 2,2,"01/28/2021, 10:00:00"
150,SLE,1,BKE,WOODLANDS AVE 2,BKE/SLE INTERCHANGE,2,"01/28/2021, 10:00:00"
151,SLE,2,CTE,BKE/SLE INTERCHANGE,WOODLANDS AVE 2,2,"01/28/2021, 10:00:00"
152,SLE,2,CTE,WOODLANDS AVE 2,WOODLANDS AVE 12,1,"01/28/2021, 10:00:00"
153,SLE,2,CTE,WOODLANDS AVE 12,MANDAI RD,2,"01/28/2021, 10:00:00"
154,SLE,2,CTE,MANDAI RD,UPPER THOMSON,3,"01/28/2021, 10:00:00"
155,SLE,2,CTE,UPPER THOMSON,LENTOR AVE,2,"01/28/2021, 10:00:00"
156,SLE,2,CTE,LENTOR AVE,TPE/PIE INTERCHANGE,2,"01/28/2021, 10:00:00"
157,SLE,2,CTE,TPE/PIE INTERCHANGE,YIO CHU KANG,1,"01/28/2021, 10:00:00"
158,SLE,2,CTE,YIO CHU KANG,CTE/SLE INTERCHANGE,1,"01/28/2021, 10:00:00"
159,TPE,1,CTE/SLE,PIE/TPE INTERCHANGE,TAMPINES AVE 7,1,"01/28/2021, 10:00:00"
160,TPE,1,CTE/SLE,TAMPINES AVE 7,TAMPINES AVE 12,2,"01/28/2021, 10:00:00"
161,TPE,1,CTE/SLE,TAMPINES AVE 12,PASIR RIS DRIVE 8,0,"01/28/2021, 10:00:00"
162,TPE,1,CTE/SLE,PASIR RIS DRIVE 8,TAMPINES ROAD,1,"01/28/2021, 10:00:00"
163,TPE,1,CTE/SLE,TAMPINES ROAD,TAMPINES AVE 10,1,"01/28/2021, 10:00:00"
164,TPE,1,CTE/SLE,TAMPINES AVE 10,LOR HALUS,2,"01/28/2021, 10:00:00"
165,TPE,1,CTE/SLE,LOR HALUS,PUNGGOL RD,3,"01/28/2021, 10:00:00"
166,TPE,1,CTE/SLE,PUNGGOL RD,SENGKANG EXIT,1,"01/28/2021, 10:00:00"
167,TPE,1,CTE/SLE,SENGKANG EXIT,JALAN KAYU,5,"01/28/2021, 10:00:00"
168,TPE,1,CTE/SLE,JALAN KAYU,SLE/CTE/TPE INTERCHANGE,2,"01/28/2021, 10:00:00"
169,TPE,2,PIE,SLE/CTE/TPE INTERCHANGE,JALAN KAYU,1,"01/28/2021, 10:00:00"
170,TPE,2,PIE,JALAN KAYU,SENGKANG EXIT,2,"01/28/2021, 10:00:00"
171,TPE,2,PIE,SENGKANG EXIT,PUNGGOL RD,1,"01/28/2021, 10:00:00"
172,TPE,2,PIE,PUNGGOL RD,LOR HARUS,3,"01/28/2021, 10:00:00"
173,TPE,2,PIE,LOR HARUS,PASIR RIS DRIVE 12,2,"01/28/2021, 10:00:00"
174,TPE,2,PIE,PASIR RIS DRIVE 12,ELIAS ROAD,1,"01/28/2021, 10:00:00"
175,TPE,2,PIE,ELIAS ROAD,PASIR RIS DRIVE 8,1,"01/28/2021, 10:00:00"
176,TPE,2,PIE,PASIR RIS DRIVE 8,TAMPINES AVE 7,2,"01/28/2021, 10:00:00"
177,TPE,2,PIE,TAMPINES AVE 7,LOYANG AVE,1,"01/28/2021, 10:00:00"
178,TPE,2,PIE,LOYANG AVE,PIE/TPE INTERCHANGE,1,"01/28/2021, 10:00:00"
179,AYE,1,TUAS CHECKPOINT,AYE/MCE INTERCHANGE,TELOK BLANGAH RD,2,"01/28/2021, 10:30:01"
180,AYE,1,TUAS CHECKPOINT,TELOK BLANGAH RD,LOWER DELTA RD,1,"01/28/2021, 10:30:01"
181,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,4,"01/28/2021, 10:30:01"
182,AYE,1,TUAS CHECKPOINT,NORMANTON PARK,NORTH BUONA VISTA RD,2,"01/28/2021, 10:30:01"
183,AYE,1,TUAS CHECKPOINT,NORTH BUONA VISTA RD,CLEMENTI RD,3,"01/28/2021, 10:30:01"
184,AYE,1,TUAS CHECKPOINT,CLEMENTI RD,WEST COAST RD,2,"01/28/2021, 10:30:01"
185,AYE,1,TUAS CHECKPOINT,WEST COAST RD,CLEMENTI AVE 6,2,"01/28/2021, 10:30:01"
186,AYE,1,TUAS CHECKPOINT,CLEMENTI AVE 6,JURONG TOWN HALL RD,2,"01/28/2021, 10:30:01"
187,AYE,1,TUAS CHECKPOINT,JURONG TOWN HALL RD,PENJURU RD,1,"01/28/2021, 10:30:01"
188,AYE,1,TUAS CHECKPOINT,PENJURU RD,JURONG PORT RD,2,"01/28/2021, 10:30:01"
189,AYE,1,TUAS CHECKPOINT,JURONG PORT RD,JURONG PIER RD,1,"01/28/2021, 10:30:01"
190,AYE,1,TUAS CHECKPOINT,JURONG PIER RD,PIONEER CIRCUS,2,"01/28/2021, 10:30:01"
191,AYE,1,TUAS CHECKPOINT,PIONEER CIRCUS,BENOI RD,2,"01/28/2021, 10:30:01"
192,AYE,1,TUAS CHECKPOINT,BENOI RD,AYE/PIE INTERCHANGE,2,"01/28/2021, 10:30:01"
193,AYE,1,TUAS CHECKPOINT,AYE/PIE INTERCHANGE,TUAS WEST RD,2,"01/28/2021, 10:30:01"
194,AYE,1,TUAS CHECKPOINT,TUAS WEST RD,TUAS WEST DRIVE,2,"01/28/2021, 10:30:01"
195,AYE,1,TUAS CHECKPOINT,TUAS WEST DRIVE,TUAS CHECKPOINT,1,"01/28/2021, 10:30:01"
196,AYE,2,CITY,TUAS CHECKPOINT,TUAS WEST RD,1,"01/28/2021, 10:30:01"
197,AYE,2,CITY,TUAS WEST RD,AYE/PIE INTERCHANGE,2,"01/28/2021, 10:30:01"
198,AYE,2,CITY,AYE/PIE INTERCHANGE,BENOI RD,2,"01/28/2021, 10:30:01"
199,AYE,2,CITY,BENOI RD,PIONEER CIRCUS,2,"01/28/2021, 10:30:01"
200,AYE,2,CITY,PIONEER CIRCUS,JALAN BOON LAY,2,"01/28/2021, 10:30:01"
201,AYE,2,CITY,JALAN BOON LAY,YUAN CHING RD,2,"01/28/2021, 10:30:01"
202,AYE,2,CITY,YUAN CHING RD,JURONG TOWN HALL RD,5,"01/28/2021, 10:30:01"
203,AYE,2,CITY,JURONG TOWN HALL RD,CLEMENTI AVE 6,4,"01/28/2021, 10:30:01"
204,AYE,2,CITY,CLEMENTI AVE 6,CLEMENTI AVE 2,1,"01/28/2021, 10:30:01"
205,AYE,2,CITY,CLEMENTI AVE 2,CLEMENTI RD,1,"01/28/2021, 10:30:01"
206,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,4,"01/28/2021, 10:30:01"
207,AYE,2,CITY,NORTH BUONA VISTA RD,PORTSDOWN RD,2,"01/28/2021, 10:30:01"
208,AYE,2,CITY,PORTSDOWN RD,ALEXANDRA RD,2,"01/28/2021, 10:30:01"
209,AYE,2,CITY,ALEXANDRA RD,LOWER DELTA RD,4,"01/28/2021, 10:30:01"
210,AYE,2,CITY,LOWER DELTA RD,KEPPEL RD,1,"01/28/2021, 10:30:01"
211,AYE,2,CITY,KEPPEL RD,AYE/MCE INTERCHANGE,2,"01/28/2021, 10:30:01"
212,BKE,1,WOODLANDS CENTRE,BKE/PIE INTERCHANGE,DIARY FARM,2,"01/28/2021, 10:30:01"
213,BKE,1,WOODLANDS CENTRE,DIARY FARM,BUKIT PANJANG RD,2,"01/28/2021, 10:30:01"
214,BKE,1,WOODLANDS CENTRE,BUKIT PANJANG RD,BKE/KJE INTERCHANGE,2,"01/28/2021, 10:30:01"
215,BKE,1,WOODLANDS CENTRE,BKE/KJE INTERCHANGE,MANDAI RD,2,"01/28/2021, 10:30:01"
216,BKE,1,WOODLANDS CENTRE,MANDAI RD,BKE/SLE INTERCHANGE,2,"01/28/2021, 10:30:01"
217,BKE,1,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,WOODLANDS AVE 3,1,"01/28/2021, 10:30:01"
218,BKE,1,WOODLANDS CENTRE,WOODLANDS AVE 3,WOODLANDS CENTRE,1,"01/28/2021, 10:30:01"
219,BKE,2,PIE,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,1,"01/28/2021, 10:30:01"
220,BKE,2,PIE,BKE/SLE INTERCHANGE,MANDAI RD,2,"01/28/2021, 10:30:01"
221,BKE,2,PIE,MANDAI RD,BKE/KJE INTERCHANGE,2,"01/28/2021, 10:30:01"
222,BKE,2,PIE,BKE/KJE INTERCHANGE,BUKIT PANJANG RD,2,"01/28/2021, 10:30:01"
223,BKE,2,PIE,BUKIT PANJANG RD,DIARY FARM ROAD,1,"01/28/2021, 10:30:01"
224,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,3,"01/28/2021, 10:30:01"
225,CTE,1,SLE/CTE INTERCHANGE,AYE/CTE INTERCHANGE,OUTRAM RD,1,"01/28/2021, 10:30:01"
226,CTE,1,SLE/CTE INTERCHANGE,OUTRAM RD,CLEMENCEAU AVE,1,"01/28/2021, 10:30:01"
227,CTE,1,SLE/CTE INTERCHANGE,CLEMENCEAU AVE,MOULMEIN RD,4,"01/28/2021, 10:30:01"
228,CTE,1,SLE/CTE INTERCHANGE,MOULMEIN RD,JALAN BAHAGIA,1,"01/28/2021, 10:30:01"
229,CTE,1,SLE/CTE INTERCHANGE,JALAN BAHAGIA,CTE/PIE INTERCHANGE,1,"01/28/2021, 10:30:01"
230,CTE,1,SLE/CTE INTERCHANGE,CTE/PIE INTERCHANGE,BRADDELL RD,3,"01/28/2021, 10:30:01"
231,CTE,1,SLE/CTE INTERCHANGE,BRADDELL RD,AMK AVE 1,3,"01/28/2021, 10:30:01"
232,CTE,1,SLE/CTE INTERCHANGE,AMK AVE 1,AMK AVE 3,4,"01/28/2021, 10:30:01"
233,CTE,1,SLE/CTE INTERCHANGE,AMK AVE 3,AMK AVE 5,1,"01/28/2021, 10:30:01"
234,CTE,1,SLE/CTE INTERCHANGE,AMK AVE 5,YIO CHU KANG,1,"01/28/2021, 10:30:01"
235,CTE,1,SLE/CTE INTERCHANGE,YIO CHU KANG,SLE/CTE INTERCHANGE,1,"01/28/2021, 10:30:01"
236,CTE,2,CITY,SLE/CTE INTERCHANGE,AMK AVE 5,2,"01/28/2021, 10:30:01"
237,CTE,2,CITY,AMK AVE 5,AMK AVE 3,1,"01/28/2021, 10:30:01"
